match_id,participant_id,puuid,summoner_name,summoner_id,team_id,champion_id,champion_name,individual_position,rank_tier,rank_division,summoner1_id,summoner2_id,summoner1_name,summoner2_name,item0,item1,item2,item3,item4,item5,item6,win,kills,deaths,assists,gold_earned,champion_experience,total_damage_dealt_to_champions
EUW1_7726525237,1,fK3LMJMZWFSqbKDpIU9FLQdIiwlrbM7mXD_2_6eSNq6PVWJUgQRl1X3bVnmB01l2HzsGj8oxm9ZVkQ,,q2qgWB8ksNKbjJd2bhfPmjF7Y2VYrNexPQEfkKsa8YvIiQU,100,126,Jayce,TOP,UNRANKED,,4,12,,,3142,3042,1036,1055,3158,1036,3340,0,3,8,1,8469,9809,19290
EUW1_7726525237,2,9-aCmOxUeyVKMLeOjMeUMsZKOrseBdTS9m75vKXMiss8s4_2X2f1q32DeXGI8oUnoCTbgtbrtR7q4g,,mAdF9N8Q5okIzNrSM8Zgo4pu-bHi3uksYvwrCHV4kdX551N_,100,36,DrMundo,JUNGLE,UNRANKED,,4,11,,,0,3084,3009,3211,1028,3742,3364,0,4,6,1,9697,9591,17607
EUW1_7726525237,3,HrzEd3YVelB4Y0R_DaslOVEehhpQ2D53n3xWe_YNypdIc0YEx-PyXsnAIKUppbP-tJJtYtmpNtdLMA,,nNFP38dypQIgHptH8R1W54AMJIESrkK3jWPBQjZDPUyzsZ8,100,13,Ryze,MIDDLE,UNRANKED,,6,4,,,2031,3173,3040,6657,1056,1052,3363,0,2,4,4,8918,11869,17736
EUW1_7726525237,4,bjaTeaRE0H5oihV4lsz8CyzsIvDr2ADZbirfKYZP-cmIsbU8rXfV53qOzmDYdW0d4dTb3o-UX_xbTw,,OyMxpLVIhGJmv9shCIGtSE1CEu1066QxgVjEfgAHhSRP7vc,100,51,Caitlyn,BOTTOM,UNRANKED,,4,21,,,3097,1055,1083,1018,1037,1038,3363,0,3,10,2,8283,7366,17659
EUW1_7726525237,5,-UFo4exAbBiJa1-okuUZO9zKzOCgOhLBtV41vp_5dacv1-EB_8dFx7VxOcip_ugiOYVaoxkj2ELmEw,,8q7YxL_4WBoi2xIdDphtDT-UknnVp6dyugW8lmYiN4zhu_0,100,432,Bard,SUPPORT,UNRANKED,,7,4,,,3190,3877,3742,0,0,3158,3364,0,1,6,9,7201,6774,9768
EUW1_7726525237,6,JWbcfx-hio8UuvrSga7__pyj6fKjtpI-fFSmrqqAbUVRi-_2N-B_Atu4J270sYaeWSPS5DdEpSd8lw,,XDJgXVv5h-Ox8l01q_JNVFwGcPBZj78AyeAAmVqqEdU-9wvMNACtOCGQrA,200,14,Sion,TOP,UNRANKED,,4,12,,,0,3009,3068,2502,1057,1011,3364,1,8,2,6,10160,14250,20329
EUW1_7726525237,7,W7oNyVdcReAygANyAwK9VGKBE7bkw-BfyfzLzcNSEYdd_OH3HVTJutjnO3hta_aLJ8CsirRUWxPSRQ,,QAtdqMLYJdSKXXa6S0TOrbMNsrRElxV1v5t3tFj_lqkXHwc,200,904,Zaahen,JUNGLE,UNRANKED,,4,11,,,6610,3078,3026,0,0,2422,3364,1,8,1,12,11367,12533,19497
EUW1_7726525237,8,7ev_-n-a3gfSfTxbibnzxRjvNibzXl-tOa2PMgQiDCP1HBCXwvEMUxp0ITGk3Tk8e9eIdJLNZr3T0w,,5z-1qxo2tj3vWL3ML416YflGu2LyWBroDYK1il0Uu4r5NtI,200,1,Annie,MIDDLE,UNRANKED,,12,4,,,3175,3118,4645,1058,1058,0,3363,1,6,2,5,10435,12371,26183
EUW1_7726525237,9,uanoCP3wCPK9eGSmMS0Q6QYYMyjCuRitZDkcRWGAEcBNTlCDWC9sESFRtaEHbNO4b5afZcQP9k1ipw,,ycrbTqt1fQxKhGfoqjeAeyUUKGbXyXX6F0l85XlX6Yk6XoY,200,202,Jhin,BOTTOM,UNRANKED,,21,4,,,2031,3097,3031,1055,3123,1036,3363,1,7,2,16,12302,11327,25014
EUW1_7726525237,10,0GTpGDpVeksSepNa8CaQomRE9k_nxElq9OrZ9s9xBGsjjkzmvwNad88HGMMxM7bbq7p6LK1CkbZbbw,,lHhpWPJlKH0UyymSDjwbMn29QGUWyn8dQKrC3_fIdapsAHaO,200,43,Karma,SUPPORT,UNRANKED,,4,7,,,3870,3107,3158,6617,1004,3113,3364,1,5,6,24,8921,9208,13661
