match_id,team_id,win,dragon_kills,baron_kills,tower_kills,inhibitor_kills,champion_kills,atakhan_kills,horde_kills,total_gold,total_experience
EUW1_7726525237,100,0,1,0,2,0,13,0,3,42568,45409
EUW1_7726525237,200,1,2,1,5,0,34,0,0,53185,59689
EUW1_7729046448,100,0,2,2,6,0,34,0,0,79142,91730
EUW1_7729046448,200,1,3,1,9,1,34,0,3,82266,95549
EUW1_7728981406,100,0,0,0,4,0,7,0,3,42865,53907
EUW1_7728981406,200,1,3,0,4,0,21,0,0,48150,61806
EUW1_7728928854,100,1,1,0,5,0,29,0,0,45456,49023
EUW1_7728928854,200,0,1,0,0,0,11,0,2,35533,38659
EUW1_7727494608,100,0,3,2,7,1,33,0,3,79715,88290
EUW1_7727494608,200,1,3,1,6,1,42,0,0,84299,103620
EUW1_7737556117,100,1,3,1,7,1,31,0,3,64922,76014
EUW1_7737556117,200,0,1,0,3,0,31,0,0,59605,66661
EUW1_7737516217,100,0,1,0,2,0,11,0,3,45196,54268
EUW1_7737516217,200,1,3,1,9,2,26,0,0,57404,69221
EUW1_7736770226,100,0,1,0,3,0,20,0,0,49882,60059
EUW1_7736770226,200,1,1,1,11,3,29,0,3,64826,76928
EUW1_7736677435,100,1,1,3,15,5,46,0,0,92823,111154
EUW1_7736677435,200,0,4,0,10,2,36,0,3,91901,112458
EUW1_7736616857,100,0,1,0,4,0,26,0,3,54805,62170
EUW1_7736616857,200,1,2,1,9,1,34,0,0,62960,72389
EUW1_7736337469,100,0,2,0,9,2,47,0,3,88373,98373
EUW1_7736337469,200,1,4,2,8,1,55,0,0,90401,109579
EUW1_7736274658,100,1,3,1,11,2,33,0,0,56106,64610
EUW1_7736274658,200,0,0,0,0,0,15,0,3,44387,53730
EUW1_7739863803,100,1,2,1,7,1,46,0,3,55005,63621
EUW1_7739863803,200,0,0,0,1,0,11,0,0,43988,49715
EUW1_7739612698,100,0,0,0,0,0,7,0,0,33259,41258
EUW1_7739612698,200,1,3,0,5,0,24,0,3,48884,53491
EUW1_7739275415,100,0,1,0,3,0,13,0,3,40960,43033
EUW1_7739275415,200,1,1,0,5,0,32,0,0,49398,53273
EUW1_7739234954,100,1,3,1,4,0,24,0,3,48021,58197
EUW1_7739234954,200,0,0,0,2,0,8,0,0,37636,44332
EUW1_7739181443,100,1,2,0,5,0,32,0,3,45853,49344
EUW1_7739181443,200,0,0,0,0,0,10,0,0,33117,38401
EUW1_7739142516,100,1,2,1,10,1,25,0,2,60030,72424
EUW1_7739142516,200,0,2,0,3,0,8,0,1,49338,58572
EUW1_7740288954,100,1,2,0,3,0,23,0,3,36313,36725
EUW1_7740288954,200,0,0,0,0,0,11,0,0,28525,30588
EUW1_7740243806,100,1,4,0,10,2,32,0,0,65975,74814
EUW1_7740243806,200,0,0,1,3,0,30,0,3,58595,68910
EUW1_7740064491,100,1,3,1,9,1,27,0,3,57663,62102
EUW1_7740064491,200,0,1,0,3,0,20,0,0,51147,59130
EUW1_7740432988,100,1,3,1,9,1,22,0,0,57367,65387
EUW1_7740432988,200,0,0,0,2,0,15,0,3,44328,50416
EUW1_7739526287,100,0,0,0,0,0,21,0,0,46938,55731
EUW1_7739526287,200,1,3,1,10,1,34,0,3,59953,63372
EUW1_7735318815,100,0,3,0,5,0,29,0,1,66098,82244
EUW1_7735318815,200,1,2,2,11,1,32,0,2,77187,92897
EUW1_7736894370,100,1,1,1,9,1,31,0,1,58309,67104
EUW1_7736894370,200,0,1,0,3,0,16,0,2,45586,53406
EUW1_7736831775,100,0,2,1,6,1,29,0,3,87022,106465
EUW1_7736831775,200,1,2,1,7,2,30,0,0,84884,106784
EUW1_7736793833,100,1,1,0,1,0,25,0,3,36841,40479
EUW1_7736793833,200,0,0,0,1,0,13,0,0,33656,36897
EUW1_7737472455,100,1,2,2,11,3,31,0,3,71658,83463
EUW1_7737472455,200,0,2,0,4,0,24,0,0,63790,77107
EUW1_7737428320,100,1,0,1,8,1,29,0,3,59345,68193
EUW1_7737428320,200,0,3,0,3,0,25,0,0,52412,61714
EUW1_7739319525,100,1,3,1,8,1,37,0,2,55450,62174
EUW1_7739319525,200,0,0,0,1,0,21,0,1,45602,50271
EUW1_7736754119,100,0,0,0,0,0,5,0,0,25648,30120
EUW1_7736754119,200,1,2,0,3,0,22,0,3,35577,36786
EUW1_7740128967,100,1,4,3,10,2,47,0,1,94291,123101
EUW1_7740128967,200,0,2,0,8,2,34,0,2,86241,104487
EUW1_7740062711,100,0,2,0,4,0,32,0,3,59190,67233
EUW1_7740062711,200,1,2,1,11,3,34,0,0,67617,77692
